Agency,State,created on,Amount,Fee,Modified on,Total,misc notes
TX Agency 10,TX,2019-07-22T17:06:42Z,75.00,4.12,2020-08-28T18:47:53Z,79.12,
TX Agency 10,TX,2019-07-22T17:06:42Z,75.00,4.12,2020-08-28T18:48:37Z,79.12,
TX Agency 10,TX,2019-07-29T18:21:39Z,75.00,4.12,2020-02-05T19:43:48Z,79.12,
TX Agency 10,TX,2019-10-16T16:23:19Z,75.00,4.12,2020-02-05T19:44:11Z,79.12,
TX Agency 10,TX,2019-12-26T16:51:12Z,75.00,4.12,2020-02-05T19:43:22Z,79.12,
TX Agency 7,TX,2019-11-22T17:04:48Z,136.00,7.48,2019-11-22T17:49:17Z,143.48,
TX Agency 9,TX,2018-09-11T15:15:12Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:23:54Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:24:28Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:25:06Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:25:56Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:26:35Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-09-11T15:32:03Z,63.14,3.47,2020-06-01T16:09:46Z,66.61,
TX Agency 9,TX,2018-10-15T20:31:46Z,66.61,3.66,2020-06-01T16:09:46Z,70.27,
TX Agency 9,TX,2018-10-15T20:32:16Z,66.61,3.66,2020-06-01T16:09:46Z,70.27,
